,Date,curr_exp_date,curr_date,next_exp,far_exp,curr_year_exp,curr_half_year_exp
0,03-01-2011,27-01-2011,03-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
1,04-01-2011,27-01-2011,04-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
2,05-01-2011,27-01-2011,05-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
3,06-01-2011,27-01-2011,06-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
4,07-01-2011,27-01-2011,07-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
5,10-01-2011,27-01-2011,10-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
6,11-01-2011,27-01-2011,11-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
7,12-01-2011,27-01-2011,12-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
8,13-01-2011,27-01-2011,13-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
9,14-01-2011,27-01-2011,14-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
10,17-01-2011,27-01-2011,17-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
11,18-01-2011,27-01-2011,18-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
12,19-01-2011,27-01-2011,19-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
13,20-01-2011,27-01-2011,20-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
14,21-01-2011,27-01-2011,21-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
15,24-01-2011,27-01-2011,24-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
16,25-01-2011,27-01-2011,25-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
17,27-01-2011,27-01-2011,27-01-2011,24-02-2011,31-03-2011,29-12-2011,30-06-2011
18,28-01-2011,24-02-2011,28-01-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
19,31-01-2011,24-02-2011,31-01-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
20,01-02-2011,24-02-2011,01-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
21,02-02-2011,24-02-2011,02-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
22,03-02-2011,24-02-2011,03-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
23,04-02-2011,24-02-2011,04-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
24,07-02-2011,24-02-2011,07-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
25,08-02-2011,24-02-2011,08-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
26,09-02-2011,24-02-2011,09-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
27,10-02-2011,24-02-2011,10-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
28,11-02-2011,24-02-2011,11-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
29,14-02-2011,24-02-2011,14-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
30,15-02-2011,24-02-2011,15-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
31,16-02-2011,24-02-2011,16-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
32,17-02-2011,24-02-2011,17-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
33,18-02-2011,24-02-2011,18-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
34,21-02-2011,24-02-2011,21-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
35,22-02-2011,24-02-2011,22-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
36,23-02-2011,24-02-2011,23-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
37,24-02-2011,24-02-2011,24-02-2011,31-03-2011,28-04-2011,29-12-2011,30-06-2011
38,25-02-2011,31-03-2011,25-02-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
39,28-02-2011,31-03-2011,28-02-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
40,01-03-2011,31-03-2011,01-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
41,03-03-2011,31-03-2011,03-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
42,04-03-2011,31-03-2011,04-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
43,07-03-2011,31-03-2011,07-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
44,08-03-2011,31-03-2011,08-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
45,09-03-2011,31-03-2011,09-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
46,10-03-2011,31-03-2011,10-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
47,11-03-2011,31-03-2011,11-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
48,14-03-2011,31-03-2011,14-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
49,15-03-2011,31-03-2011,15-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
50,16-03-2011,31-03-2011,16-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
51,17-03-2011,31-03-2011,17-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
52,18-03-2011,31-03-2011,18-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
53,21-03-2011,31-03-2011,21-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
54,22-03-2011,31-03-2011,22-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
55,23-03-2011,31-03-2011,23-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
56,24-03-2011,31-03-2011,24-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
57,25-03-2011,31-03-2011,25-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
58,28-03-2011,31-03-2011,28-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
59,29-03-2011,31-03-2011,29-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
60,30-03-2011,31-03-2011,30-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
61,31-03-2011,31-03-2011,31-03-2011,28-04-2011,26-05-2011,29-12-2011,30-06-2011
62,01-04-2011,28-04-2011,01-04-2011,26-05-2011,30-06-2011,29-12-2011,30-06-2011
